sec_code,sec_name,chunk_n,text_sum,summary_sum,floor_applied_n,relevant_score_mean,lnN_tech,Redundancy
688001,华兴源创,17,66441.0,2762.0,0,1.9716184432568649,11.104069614787955,24.055394641564085
688002,睿创微纳,15,56427.0,2367.0,0,1.859542097135424,10.940703046338914,23.839036755386566
688003,天准科技,17,67095.0,2577.0,0,2.1141473946116345,11.113864804535059,26.036088474970896
688004,博汇科技,18,68717.0,2579.0,0,2.132812496660354,11.13775190029194,26.644823575029083
688005,容百科技,12,47741.0,1778.0,0,1.703941838366662,10.773545846468581,26.850956130483688
688006,杭可科技,13,51366.0,1801.0,0,2.0360070484248136,10.846731753970541,28.52082176568573
688007,光峰科技,16,63227.0,2268.0,0,1.9190226930752143,11.054486704094396,27.877865961199294
688008,澜起科技,10,37624.0,1373.0,0,1.8420729121535573,10.535397423624884,27.402767662053897
688009,中国通号,26,100149.0,3481.0,0,1.6627718477783708,11.514414356021648,28.7701809824763
688010,福光股份,13,51938.0,2132.0,0,1.9607611216620326,10.85780597850694,24.361163227016885
688011,新光光电,16,60685.0,2534.0,0,2.083519099671851,11.013451829540461,23.948303078137332
688012,中微公司,8,32325.0,1675.0,0,1.7944468849015187,10.383596203640058,19.29850746268657
688015,交控科技,15,56851.0,2337.0,0,1.6456000796816144,10.948189089173493,24.326486949080017
688016,心脉医疗,14,56003.0,1950.0,0,1.9356546372372019,10.93316053971096,28.719487179487178
688017,绿的谐波,10,39815.0,1520.0,0,2.115352897257005,10.591999004691544,26.19407894736842
688018,乐鑫科技,11,43794.0,1718.0,0,1.7070199452012575,10.687252100679688,25.49126891734575
688019,安集科技,12,44881.0,1766.0,0,1.6661965921374524,10.711769821588275,25.41392978482446
688020,方邦股份,9,37061.0,1318.0,0,1.9614801946794371,10.520320482745682,28.119119878603946
688021,奥福环保,19,74095.0,2842.0,0,2.08105818923703,11.213103332624279,26.071428571428573
688022,瀚川智能,17,68761.0,2578.0,0,1.8072014849255804,11.138392002730184,26.672226532195502
688023,安恒信息,20,75560.0,2841.0,0,2.936249425918571,11.232682321615446,26.59626891939458
688025,杰普特,19,73532.0,2608.0,0,2.388789599062025,11.205475964602762,28.19478527607362
688026,洁特生物,24,93604.0,3526.0,0,2.1418130065476393,11.446828396595302,26.546795235394214
688027,国盾量子,20,78084.0,2799.0,0,1.916099434805116,11.265540449282984,27.89710610932476
688028,沃尔德,16,63160.0,2337.0,0,2.0159240805503345,11.053426468369578,27.02610183996577
688029,南微医学,26,101138.0,3769.0,0,2.122551949328849,11.524241199868552,26.834173520827807
688030,山石网科,22,84483.0,2876.0,0,1.6785784771004244,11.344305609673212,29.375173852573017
688033,天宜上佳,27,104701.0,3943.0,0,2.0124852785960994,11.558863947911393,26.55363936089272
688036,传音控股,23,89683.0,3357.0,0,2.346391211150103,11.404036509461282,26.715221924337207
688037,芯源微,12,47650.0,1863.0,0,2.394287159462722,10.771637909082347,25.577026301663984
688038,中科通达,16,61022.0,2227.0,0,2.0379913678723685,11.018989733872505,27.400987876066456
688039,当虹科技,14,56459.0,2213.0,0,2.0376278674441277,10.941269989996359,25.512426570266605
688050,爱博医疗,22,84393.0,3045.0,0,2.4127229430111417,11.343239738755845,27.715270935960593
688051,佳华科技,19,75270.0,2580.0,0,1.8033932855945414,11.228836928028578,29.174418604651162
688055,龙腾光电,15,57274.0,2223.0,0,2.066833361779598,10.955602047544657,25.764282501124608
688056,莱伯泰科,18,69939.0,2449.0,0,1.7849715889711708,11.155378712545462,28.558187015108206
688058,宝兰德,22,83698.0,2747.0,0,1.983067902131161,11.334970361329475,30.46887513651256
688060,云涌科技,12,45219.0,1622.0,0,1.7648895952929768,10.719272631478638,27.87854500616523
688065,凯赛生物,14,51415.0,1836.0,0,2.2693161346768593,10.84768523766329,28.003812636165577
688066,航天宏图,16,60358.0,2271.0,0,1.8706811756553188,11.008048777806648,26.577719066490534
688068,热景生物,23,91535.0,3953.0,0,1.9643854172070108,11.424476691785115,23.155831014419427
688069,德林海,20,75234.0,2873.0,0,1.9366981798121314,11.228358535418593,26.186564566655065
688070,纵横股份,20,78149.0,2576.0,0,1.9580383236834848,11.266372539862443,30.337344720496894
688073,毕得医药,18,68729.0,2608.0,0,1.9171158685344065,11.137926514322622,26.353144171779142
688077,大地熊,12,47357.0,1694.0,0,2.2741836203255406,10.765469922956939,27.95572609208973
688078,龙软科技,22,84630.0,3335.0,0,2.197006629325792,11.346044092664151,25.37631184407796
688080,映翰通,15,56895.0,2230.0,0,2.0277400552922376,10.948962742791108,25.513452914798208
688081,兴图新科,18,70886.0,2581.0,0,2.0738484146656444,11.168828231809211,27.464548624564124
688085,三友医疗,23,91293.0,3241.0,0,1.9611907470140262,11.421829393326107,28.168157975933354
688086,紫晶存储,26,99312.0,3986.0,0,1.92945796083071,11.506021688653433,24.915203211239337
688088,虹软科技,16,61725.0,2115.0,0,2.3709704310146873,11.03044431421338,29.18439716312057
688089,嘉必优,16,62300.0,2309.0,0,1.6299826351294673,11.039716704775545,26.981377219575574
688090,瑞松科技,23,90269.0,3593.0,0,2.492531303821626,11.410549380353363,25.123573615363206
688095,福昕软件,12,45244.0,1358.0,0,1.9614460658815498,10.719825343651271,33.316642120765835
688096,京源环保,19,75301.0,2748.0,0,1.8575736106679124,11.229248693912288,27.402110625909753
