sec_code,sec_name,chunk_n,text_sum,summary_sum,floor_applied_n,relevant_score_mean,lnN_tech,Redundancy
688001,华兴源创,17,66441.0,2452.0,2,1.9716184432568649,11.104069614787955,27.096655791190866
688002,睿创微纳,14,56427.0,2147.0,3,1.8549258243518543,10.940703046338914,26.28178854215184
688003,天准科技,17,67095.0,2324.0,2,2.1141473946116345,11.113864804535059,28.870481927710845
688005,容百科技,12,47741.0,1567.0,3,1.703941838366662,10.773545846468581,30.466496490108486
688006,杭可科技,13,51366.0,1623.0,3,2.0360070484248136,10.846731753970541,31.648798521256932
688007,光峰科技,16,63227.0,1951.0,1,1.9190226930752143,11.054486704094396,32.40748334187596
688008,澜起科技,10,37624.0,1240.0,2,1.8420729121535573,10.535397423624884,30.34193548387097
688009,中国通号,26,100149.0,3284.0,8,1.6627718477783708,11.514414356021648,30.496041412911083
688010,福光股份,13,51938.0,1887.0,1,1.9607611216620326,10.85780597850694,27.524112347641758
688011,新光光电,15,60685.0,2222.0,0,2.114054359911412,11.013451829540461,27.31098109810981
688012,中微公司,8,32325.0,1471.0,1,1.7944468849015187,10.383596203640058,21.974847042828006
688015,交控科技,14,56851.0,2089.0,2,1.653072853874498,10.948189089173493,27.214456677836285
688016,心脉医疗,14,56003.0,1821.0,3,1.9356546372372019,10.93316053971096,30.753981328940142
688018,乐鑫科技,11,43794.0,1577.0,3,1.7070199452012575,10.687252100679688,27.770450221940393
688019,安集科技,11,44881.0,1571.0,1,1.670049961985446,10.711769821588275,28.568427753023553
688020,方邦股份,9,37061.0,1144.0,4,1.9614801946794371,10.520320482745682,32.39597902097902
688021,奥福环保,19,74095.0,2421.0,3,2.08105818923703,11.213103332624279,30.60512185047501
688022,瀚川智能,17,68761.0,2269.0,1,1.8072014849255804,11.138392002730184,30.30453944468929
688023,安恒信息,19,75560.0,2732.0,4,2.972895451633056,11.232682321615446,27.65739385065886
688025,杰普特,19,73532.0,2350.0,3,2.388789599062025,11.205475964602762,31.290212765957445
688028,沃尔德,16,63160.0,1995.0,2,2.0159240805503345,11.053426468369578,31.659147869674186
688029,南微医学,26,101138.0,3395.0,4,2.122551949328849,11.524241199868552,29.790279823269515
688030,山石网科,21,84483.0,2732.0,6,1.6841651835003997,11.344305609673212,30.92349926793558
688033,天宜上佳,27,104701.0,3486.0,5,2.0124852785960994,11.558863947911393,30.034710269650027
688036,传音控股,23,89683.0,3057.0,7,2.346391211150103,11.404036509461282,29.336931632319267
688038,中科通达,16,61022.0,2072.0,2,2.0379913678723685,11.018989733872505,29.4507722007722
688058,宝兰德,21,83698.0,2734.0,7,1.996811876306719,11.334970361329475,30.61375274323336
688066,航天宏图,16,60358.0,2105.0,3,1.8706811756553188,11.008048777806648,28.673634204275533
688068,热景生物,23,91535.0,3479.0,0,1.9643854172070108,11.424476691785115,26.310721471687266
688070,纵横股份,20,78149.0,2369.0,4,1.9580383236834848,11.266372539862443,32.98818066694808
688073,毕得医药,17,68729.0,2193.0,2,1.9294581742574726,11.137926514322622,31.340173278613772
688078,龙软科技,22,84630.0,3163.0,4,2.197006629325792,11.346044092664151,26.756244072083465
688081,兴图新科,18,70886.0,2316.0,3,2.0738484146656444,11.168828231809211,30.607081174438687
