custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,source_dir
688358_1207116567_glm4_dewrap_join_chunk_0001,688358,祥生医疗,1207116567,1,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7117,6750,3976,3976,17,3976,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0002,688358,祥生医疗,1207116567,2,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7173,6688,3947,3947,17,3947,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0003,688358,祥生医疗,1207116567,3,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7147,6868,3954,3954,17,3954,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0004,688358,祥生医疗,1207116567,4,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6858,6306,3957,3957,17,3957,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0005,688358,祥生医疗,1207116567,5,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7474,6663,3911,3911,17,3911,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0006,688358,祥生医疗,1207116567,6,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7053,6224,3992,3992,17,3992,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0007,688358,祥生医疗,1207116567,7,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6063,5640,3879,3879,17,3879,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0008,688358,祥生医疗,1207116567,8,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6105,5447,3936,3936,17,3936,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0009,688358,祥生医疗,1207116567,9,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5679,5103,3558,3558,17,3558,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0010,688358,祥生医疗,1207116567,10,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5552,4799,3649,3649,17,3649,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0011,688358,祥生医疗,1207116567,11,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0011.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,4690,4231,3122,3122,17,3122,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0012,688358,祥生医疗,1207116567,12,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0012.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,4552,4141,3105,3105,17,3105,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0013,688358,祥生医疗,1207116567,13,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0013.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6041,5383,3751,3751,17,3751,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0014,688358,祥生医疗,1207116567,14,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0014.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6255,5544,3533,3533,17,3533,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0015,688358,祥生医疗,1207116567,15,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0015.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6629,6140,3997,3997,17,3997,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0016,688358,祥生医疗,1207116567,16,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0016.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6676,6166,3888,3888,17,3888,glm4_dewrap_join_full543_20260705
688358_1207116567_glm4_dewrap_join_chunk_0017,688358,祥生医疗,1207116567,17,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0017.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,2599,2454,1514,1514,17,1514,glm4_dewrap_join_full543_20260705
