label,prompt_tokens,completion_tokens,total_tokens,finish_reason,model
688013_chunks_0001_0001,5048,244,5292,stop,THUDM/GLM-4-32B-0414
688013_chunks_0002_0002,5056,242,5298,stop,THUDM/GLM-4-32B-0414
688013_chunks_0003_0003,5012,195,5207,stop,THUDM/GLM-4-32B-0414
688013_chunks_0004_0004,5040,164,5204,stop,THUDM/GLM-4-32B-0414
688013_chunks_0005_0005,5064,260,5324,stop,THUDM/GLM-4-32B-0414
688013_chunks_0006_0006,5052,394,5446,stop,THUDM/GLM-4-32B-0414
688013_chunks_0007_0007,5058,230,5288,stop,THUDM/GLM-4-32B-0414
688013_chunks_0008_0008,4921,205,5126,stop,THUDM/GLM-4-32B-0414
688013_chunks_0009_0009,4924,287,5211,stop,THUDM/GLM-4-32B-0414
688013_chunks_0010_0010,5052,232,5284,stop,THUDM/GLM-4-32B-0414
688013_chunks_0011_0011,4468,174,4642,stop,THUDM/GLM-4-32B-0414
688013_chunks_0012_0012,4284,139,4423,stop,THUDM/GLM-4-32B-0414
688013_chunks_0013_0013,5064,179,5243,stop,THUDM/GLM-4-32B-0414
688013_chunks_0014_0014,4809,144,4953,stop,THUDM/GLM-4-32B-0414
688013_chunks_0015_0015,4951,205,5156,stop,THUDM/GLM-4-32B-0414
688013_chunks_0016_0016,5056,270,5326,stop,THUDM/GLM-4-32B-0414
688013_chunks_0017_0017,5055,232,5287,stop,THUDM/GLM-4-32B-0414
688013_chunks_0018_0018,1997,187,2184,stop,THUDM/GLM-4-32B-0414
688057_chunks_0001_0001,5064,188,5252,stop,THUDM/GLM-4-32B-0414
688057_chunks_0002_0002,5016,187,5203,stop,THUDM/GLM-4-32B-0414
688057_chunks_0003_0003,5060,200,5260,stop,THUDM/GLM-4-32B-0414
688057_chunks_0004_0004,5059,218,5277,stop,THUDM/GLM-4-32B-0414
688057_chunks_0005_0005,5051,183,5234,stop,THUDM/GLM-4-32B-0414
688057_chunks_0006_0006,5056,204,5260,stop,THUDM/GLM-4-32B-0414
688057_chunks_0007_0007,5051,228,5279,stop,THUDM/GLM-4-32B-0414
688057_chunks_0008_0008,5038,255,5293,stop,THUDM/GLM-4-32B-0414
688057_chunks_0009_0009,4896,240,5136,stop,THUDM/GLM-4-32B-0414
688057_chunks_0010_0010,4703,253,4956,stop,THUDM/GLM-4-32B-0414
688057_chunks_0011_0011,4960,294,5254,stop,THUDM/GLM-4-32B-0414
688057_chunks_0012_0012,5063,230,5293,stop,THUDM/GLM-4-32B-0414
688057_chunks_0013_0013,5015,248,5263,stop,THUDM/GLM-4-32B-0414
688057_chunks_0014_0014,5050,233,5283,stop,THUDM/GLM-4-32B-0414
688057_chunks_0015_0015,5023,241,5264,stop,THUDM/GLM-4-32B-0414
688057_chunks_0016_0016,5012,261,5273,stop,THUDM/GLM-4-32B-0414
688057_chunks_0017_0017,4661,243,4904,stop,THUDM/GLM-4-32B-0414
688057_chunks_0018_0018,5064,222,5286,stop,THUDM/GLM-4-32B-0414
688057_chunks_0019_0019,5060,214,5274,stop,THUDM/GLM-4-32B-0414
688057_chunks_0020_0020,4757,240,4997,stop,THUDM/GLM-4-32B-0414
688057_chunks_0021_0021,4499,149,4648,stop,THUDM/GLM-4-32B-0414
688057_chunks_0022_0022,4681,152,4833,stop,THUDM/GLM-4-32B-0414
688057_chunks_0023_0023,4993,377,5370,stop,THUDM/GLM-4-32B-0414
688057_chunks_0024_0024,5017,233,5250,stop,THUDM/GLM-4-32B-0414
688057_chunks_0025_0025,4910,274,5184,stop,THUDM/GLM-4-32B-0414
688057_chunks_0026_0026,5006,218,5224,stop,THUDM/GLM-4-32B-0414
688057_chunks_0027_0027,5055,191,5246,stop,THUDM/GLM-4-32B-0414
688057_chunks_0028_0028,4561,204,4765,stop,THUDM/GLM-4-32B-0414
688093_chunks_0001_0001,5031,210,5241,stop,THUDM/GLM-4-32B-0414
688093_chunks_0002_0002,5052,254,5306,stop,THUDM/GLM-4-32B-0414
688093_chunks_0003_0003,5054,223,5277,stop,THUDM/GLM-4-32B-0414
688093_chunks_0004_0004,5060,254,5314,stop,THUDM/GLM-4-32B-0414
688093_chunks_0005_0005,5051,170,5221,stop,THUDM/GLM-4-32B-0414
688093_chunks_0006_0006,4693,165,4858,stop,THUDM/GLM-4-32B-0414
688093_chunks_0007_0007,5052,238,5290,stop,THUDM/GLM-4-32B-0414
688093_chunks_0008_0008,4977,230,5207,stop,THUDM/GLM-4-32B-0414
688093_chunks_0009_0009,5017,241,5258,stop,THUDM/GLM-4-32B-0414
688093_chunks_0010_0010,5035,265,5300,stop,THUDM/GLM-4-32B-0414
688093_chunks_0011_0011,4785,211,4996,stop,THUDM/GLM-4-32B-0414
688093_chunks_0012_0012,5038,216,5254,stop,THUDM/GLM-4-32B-0414
688093_chunks_0013_0013,5048,229,5277,stop,THUDM/GLM-4-32B-0414
688093_chunks_0014_0014,5058,227,5285,stop,THUDM/GLM-4-32B-0414
688093_chunks_0015_0015,5045,249,5294,stop,THUDM/GLM-4-32B-0414
688093_chunks_0016_0016,5046,191,5237,stop,THUDM/GLM-4-32B-0414
688093_chunks_0017_0017,2061,229,2290,stop,THUDM/GLM-4-32B-0414
688127_chunks_0001_0001,5055,196,5251,stop,THUDM/GLM-4-32B-0414
688127_chunks_0002_0002,5063,286,5349,stop,THUDM/GLM-4-32B-0414
688127_chunks_0003_0003,4993,186,5179,stop,THUDM/GLM-4-32B-0414
688127_chunks_0004_0004,5045,235,5280,stop,THUDM/GLM-4-32B-0414
688127_chunks_0005_0005,5041,215,5256,stop,THUDM/GLM-4-32B-0414
688127_chunks_0006_0006,5037,257,5294,stop,THUDM/GLM-4-32B-0414
688127_chunks_0007_0007,4942,212,5154,stop,THUDM/GLM-4-32B-0414
688127_chunks_0008_0008,5049,214,5263,stop,THUDM/GLM-4-32B-0414
688127_chunks_0009_0009,5062,223,5285,stop,THUDM/GLM-4-32B-0414
688127_chunks_0010_0010,4847,252,5099,stop,THUDM/GLM-4-32B-0414
688127_chunks_0011_0011,4962,177,5139,stop,THUDM/GLM-4-32B-0414
688127_chunks_0012_0012,5007,192,5199,stop,THUDM/GLM-4-32B-0414
688127_chunks_0013_0013,5064,262,5326,stop,THUDM/GLM-4-32B-0414
688127_chunks_0014_0014,3154,257,3411,stop,THUDM/GLM-4-32B-0414
688129_chunks_0001_0001,5059,230,5289,stop,THUDM/GLM-4-32B-0414
