custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,source_dir
688559_1208358657_glm4_dewrap_join_chunk_0001,688559,海目星,1208358657,1,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6666,6291,3982,3982,18,3982,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0002,688559,海目星,1208358657,2,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6891,6295,3996,3996,18,3996,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0003,688559,海目星,1208358657,3,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7139,6813,3960,3960,18,3960,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0004,688559,海目星,1208358657,4,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7118,6730,3970,3970,18,3970,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0005,688559,海目星,1208358657,5,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6606,6265,3895,3895,18,3895,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0006,688559,海目星,1208358657,6,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7076,6718,3967,3967,18,3967,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0007,688559,海目星,1208358657,7,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6319,5832,3950,3950,18,3950,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0008,688559,海目星,1208358657,8,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6283,5804,3892,3892,18,3892,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0009,688559,海目星,1208358657,9,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6338,5787,3978,3978,18,3978,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0010,688559,海目星,1208358657,10,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5471,4877,3462,3462,18,3462,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0011,688559,海目星,1208358657,11,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0011.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6026,5486,3918,3918,18,3918,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0012,688559,海目星,1208358657,12,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0012.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6195,5642,3975,3975,18,3975,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0013,688559,海目星,1208358657,13,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0013.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5399,4955,3576,3576,18,3576,glm4_dewrap_join_full543_20260705
