sec_code,sec_name,chunk_n,text_sum,summary_sum,floor_applied_n,relevant_score_mean,tech_text_glm4_tokens,lnN_tech,Redundancy
688036,传音控股,23,89683.0,2953.0,0,2.346391211150103,89692,11.404036509461282,30.37013206908229
688038,中科通达,16,61022.0,2043.0,0,2.0379913678723685,61026,11.018989733872505,29.868820362212432
688070,纵横股份,20,78149.0,2297.0,0,1.9580383236834848,78154,11.266372539862443,34.02220287331302
688073,毕得医药,17,68729.0,2171.0,0,1.9294581742574726,68735,11.137926514322622,31.65776140027637
688078,龙软科技,22,84630.0,3122.0,0,2.197006629325792,84644,11.346044092664151,27.10762331838565
688081,兴图新科,18,70886.0,2246.0,0,2.0738484146656444,70893,11.168828231809211,31.56099732858415
688098,申联生物,13,52823.0,1689.0,0,2.0165916899477696,52829,10.874701980906183,31.274718768502073
688099,晶晨股份,9,37830.0,1172.0,0,1.7812832552334714,37833,10.540857717627075,32.27815699658703
688105,诺唯赞,17,66099.0,1849.0,1,2.1279583344045196,66108,11.098908897132299,35.74851270957274
688118,普元信息,15,59073.0,2129.0,0,2.412158546352095,59081,10.98652924621328,27.746829497416627
688123,聚辰股份,18,72690.0,2732.0,0,1.9987182328709616,72696,11.193959102478681,26.60688140556369
688128,中国电器,33,129845.0,4550.0,1,1.974762981157741,129860,11.774096710381096,28.537362637362637
688133,泰坦科技,13,51860.0,1602.0,0,1.9072076740083928,51868,10.856303059092655,32.37203495630462
688150,莱特光电,16,62027.0,1922.0,0,2.2111177544933307,62032,11.035325053102616,32.272112382934445
688157,松井股份,18,69661.0,2249.0,0,2.0573033753040426,69664,11.151395899257666,30.97421076033793
688159,有方科技,23,90277.0,2962.0,0,2.299769807634827,90283,11.410638000428083,30.478392977717757
688172,燕东微,13,50643.0,1959.0,0,1.9962559248070129,50646,10.832556296769498,25.85145482388974
688206,概伦电子,8,33548.0,1189.0,0,1.8684972389957095,33551,10.420732528104303,28.215306980656013
688216,气派科技,19,72672.0,2338.0,1,2.2614322073575046,72681,11.193711444905285,31.082976903336185
688218,江苏北人,17,65846.0,2143.0,0,2.12100670246215,65851,11.095073961211014,30.72608492767149
688221,前沿生物,19,76846.0,2540.0,0,1.5459069423627998,76853,11.249558698165147,30.254330708661417
688234,天岳先进,9,34804.0,1100.0,0,2.0456697126051964,34806,10.457487601685916,31.64
688283,坤恒顺维,13,50746.0,1837.0,0,2.245004506961463,50750,10.834588076063763,27.624387588459445
688288,鸿泉物联,19,75718.0,2411.0,0,2.0068230283891793,75723,11.234771191873529,31.405226047283286
688293,奥浦迈,11,42857.0,1252.0,0,1.7423889276343594,42861,10.665624271244136,34.230830670926515
688301,奕瑞科技,12,45330.0,1475.0,0,2.1936179915514593,45333,10.721724343934895,30.73220338983051
688311,盟升电子,16,63238.0,2232.0,0,2.184766249707337,63244,11.054660665269862,28.33243727598566
688313,仕佳光子,16,62999.0,2158.0,0,2.298276956391876,63006,11.050874132231819,29.193234476367007
688336,三生国健,35,138081.0,4130.0,1,1.7701669079741276,138096,11.835595748469478,33.43365617433414
688343,云天励飞,25,96271.0,2751.0,6,2.468895510600814,96284,11.474922410170022,34.99491094147583
688349,三一重能,34,129834.0,3593.0,1,2.3924600816717905,129855,11.774011990399837,36.13526301141108
688375,国博电子,12,46574.0,1492.0,0,1.8248860187588403,46577,10.748797724493182,31.215817694369974
688376,美埃科技,2,6622.0,265.0,0,1.8013440860215053,6622,8.798152718107191,24.98867924528302
688392,骄成超声,14,56665.0,2206.0,0,2.115189138154855,56668,10.944912015167048,25.686763372620128
688433,华曙高科,12,45357.0,1383.0,0,2.1980742960376127,45362,10.72231979864831,32.79609544468546
688450,光格科技,2,8987.0,402.0,0,1.9422268907563027,8988,9.103534367658373,22.355721393034827
688469,中芯集成,10,40753.0,1250.0,0,2.1544026284348865,40759,10.615284735591118,32.6024
688472,阿特斯,14,53999.0,1835.0,0,1.6402099728780402,54002,10.896720806856424,29.42724795640327
688486,龙迅股份,17,65780.0,2288.0,1,2.4493572173837825,65785,11.094071119743049,28.75
688548,广钢气体,9,34192.0,1280.0,0,1.9701363998407007,34193,10.43974697755893,26.7125
688595,芯海科技,15,57948.0,2368.0,1,2.838339429028059,57955,10.967301335661542,24.471283783783782
688621,阳光诺和,13,51664.0,1678.0,0,1.6300738450880767,51669,10.852516492998056,30.789034564958282
688667,菱电电控,16,61271.0,2011.0,0,2.0559191237220573,61276,11.02306192678775,30.467926404773745
688678,福立旺,5,21320.0,794.0,0,2.0907001216909054,21322,9.967400878279781,26.851385390428213
688685,迈信林,11,44855.0,1327.0,0,2.008790203568577,44859,10.711190343993383,33.80180859080633
688693,锴威特,13,50351.0,1854.0,0,1.9093254473217252,50357,10.82677375892267,27.158036677454152
688719,爱科赛博,15,61177.0,2001.0,0,1.9295327334575738,61181,11.021526580870049,30.573213393303348
688720,艾森股份,13,50266.0,1531.0,0,1.9496322099920116,50272,10.825084183200465,32.83213585891574
688786,悦安新材,14,56794.0,1799.0,0,1.8255790777638337,56799,10.947185965326783,31.56976097832129
688799,华纳药厂,30,118409.0,3823.0,1,1.8627517415761343,118421,11.681900012056674,30.972796233324615
